Term,Definition
Family Governance,The system of processes and structures used by wealthy families to manage wealth and decision-making.
Family Office,A private advisory firm that manages investments and trusts for a single wealthy family.
Fee-Based Account,An account where the advisor's compensation is based on a percentage of assets under management rather than commissions.
Financial Advisor,A professional who provides advice and management of financial assets for individuals or families.
Fiduciary Duty,An advisor’s legal obligation to act in the best interest of their clients.
Generation-Skipping Trust,"A trust that allows assets to be passed to grandchildren, bypassing the children to reduce estate taxes."
High-Net-Worth Individual (HNWI),A person with liquid assets of at least $1 million.
Impact Investing,"Investments made with the intention of generating positive, measurable social and environmental impact alongside financial returns."
Intergenerational Wealth Transfer,The passing of assets from one generation to the next.
Investment Committee,A group within a firm that makes key investment policy and strategy decisions.
Investor Relations (IR),A department or role responsible for managing communication between a company and its investors.
KYC (Know Your Customer),The process of verifying the identity of clients to comply with regulations and prevent fraud.
Liquidity Event,"An event that allows investors to realize returns, such as an IPO or acquisition."
Managed Account,An investment account where a professional advisor manages assets on behalf of a client.
Multi-Family Office,A wealth management firm serving multiple wealthy families.
Performance Attribution,An analysis of a portfolio’s performance to determine the impact of investment decisions.
Philanthropic Planning,Advisory services focused on structuring charitable giving.
Portfolio Review,A regular assessment of an investment portfolio’s performance and alignment with client objectives.
Private Banking,Personalized financial services offered to high-net-worth individuals.
Relationship Manager,A professional responsible for maintaining client relationships in wealth management or banking.
Reporting Package,Customized financial reports delivered to clients to track portfolio performance and allocations.
Retirement Planning,The process of determining retirement income goals and strategies to achieve them.
Risk Profiling,The assessment of an investor’s willingness and ability to take risks.
Separately Managed Account (SMA),"An investment account customized for one investor, managed by a professional firm."
Succession Planning,The strategy for transferring leadership and ownership of a business to the next generation.
Tax-Efficient Investing,Investment strategies aimed at minimizing tax liabilities.
Trust,A legal arrangement in which assets are held by one party for the benefit of another.
Ultra-High-Net-Worth Individual (UHNWI),A person with investable assets exceeding $30 million.
Wealth Allocation,The distribution of an individual’s or family’s wealth across various asset classes and strategies.
Wealth Manager,"A professional providing financial services, investment advice, and estate planning for affluent clients."
Yield Enhancement Strategy,"An investment strategy designed to increase the return on a portfolio, often through options or structured products."
Client Segmentation,"The practice of dividing clients into groups based on wealth, needs, or behavior to tailor services."
Investor Deck,A presentation used by companies or funds to communicate investment opportunities to investors.
Capital Raising,The process of securing funds from investors for a company or fund.
Placement Memorandum,A formal legal document provided to potential investors in a private placement.
Quarterly Earnings Call,A conference call where public companies discuss financial performance with investors.
Shareholder Activism,Actions taken by investors to influence a company's behavior by exercising shareholder rights.
Stakeholder Communication,The process of managing dialogue with all parties affected by a company's operations.
Stewardship Code,A set of principles guiding institutional investors on how to engage with companies responsibly.
Wealth Preservation,"Strategies designed to protect accumulated wealth from risks such as taxes, inflation, and market downturns."
AML (Anti-Money Laundering),Laws and regulations designed to prevent the illegal generation of income through financial systems.
Audit Trail,A record that shows who has accessed a system and what operations they performed.
Basel III,A global regulatory framework developed to strengthen bank capital requirements and risk management.
Beneficial Owner,"A person who ultimately owns or controls an account or investment, even if held in another name."
CCAR (Comprehensive Capital Analysis and Review),A regulatory framework introduced by the Federal Reserve to assess capital adequacy and planning at large banks.
Compliance Risk,"The risk of legal or regulatory sanctions, financial loss, or reputational damage from failure to comply with laws and regulations."
Conflict of Interest,A situation where a person or organization could exploit their position for personal or financial gain.
Counterparty Risk,The likelihood that the other party in an investment or transaction might default on its obligations.
Credit Risk,The possibility of a borrower failing to meet obligations in accordance with agreed terms.
Cybersecurity Risk,"The potential for financial loss, disruption, or reputational damage due to a cyberattack or data breach."
Dodd-Frank Act,U.S. legislation aimed at reducing risks in the financial system after the 2008 crisis.
Enterprise Risk Management (ERM),"The process of planning, organizing, leading, and controlling activities to minimize risks across an organization."
FATCA (Foreign Account Tax Compliance Act),A U.S. law requiring foreign financial institutions to report on financial accounts held by U.S. taxpayers.
Financial Crime,"Illegal acts involving fraud, money laundering, bribery, or corruption within financial systems."
"GRC (Governance, Risk, and Compliance)","A framework that integrates governance, risk management, and compliance into processes and culture."
Insider Risk,The threat posed by individuals within an organization who might misuse access to data or systems.
KYC (Know Your Customer),The process of verifying the identity of clients to prevent fraud and comply with regulations.
Liquidity Risk,The risk that an entity may not be able to meet short-term financial obligations due to the inability to convert assets into cash quickly.
Market Risk,"The possibility of losses due to movements in market prices, such as interest rates, equity prices, or currencies."
Model Risk,The risk of inaccuracy in financial models used for decision-making.
Money Laundering,"The process of concealing the origins of illegally obtained money, typically by means of transfers involving foreign banks or businesses."
Operational Risk,"The risk of loss from inadequate or failed internal processes, people, or systems."
RegTech,"Technology used to improve regulatory monitoring, reporting, and compliance processes."
Regulation Best Interest (Reg BI),A U.S. rule requiring broker-dealers to act in the best interest of their clients when recommending securities.
Reputational Risk,The potential for negative publicity to cause financial or market share loss.
Risk Appetite,The amount and type of risk that an organization is willing to take in pursuit of its objectives.
Risk Assessment,The process of identifying and evaluating risks and their potential impact.
Risk Mitigation,Steps taken to reduce the adverse effects of potential risks.
Sanctions Screening,The process of checking transactions or clients against government sanction lists.
Sarbanes-Oxley Act (SOX),U.S. legislation enacted to protect investors from fraudulent accounting activities by corporations.
Scenario Analysis,The process of analyzing possible future events by considering alternative outcomes (scenarios).
SEC Compliance,Adherence to the rules and regulations set by the U.S. Securities and Exchange Commission.
Solvency II,An EU directive that codifies and harmonizes insurance regulation across member states.
Stress Testing,A simulation technique used to evaluate how a portfolio or institution might react to extreme conditions.
Systemic Risk,The risk of collapse of an entire financial system due to the failure of one or more significant institutions.
Third-Party Risk,The potential risk that comes from outsourcing to or depending on external vendors or partners.
Value at Risk (VaR),A measure of the potential loss in value of a portfolio over a defined period for a given confidence interval.
Whistleblower,A person who exposes information about illicit activities within an organization.
Zero-Tolerance Policy,A compliance approach where no violations of a particular rule or standard are tolerated.
Accounts Payable,Money owed by a company to its suppliers or vendors for goods and services purchased on credit.
Accounts Receivable,Money owed to a company by its customers for products or services delivered on credit.
Accrued Expense,"An accounting expense recognized before it is paid, such as wages payable or interest payable."
Accumulated Depreciation,The total depreciation expense that has been recorded against an asset since its purchase.
Asset Valuation,The process of determining the fair market or present value of assets.
Book Value per Share,A company’s total book value divided by the number of outstanding shares.
Capital Expenditure (CapEx),"Funds used by a company to acquire, upgrade, or maintain physical assets such as property or equipment."
Carrying Value,"The value of an asset on a company’s balance sheet, equal to cost minus accumulated depreciation and impairment."
Cash Conversion Cycle,The time it takes for a company to convert resource inputs into cash flows from sales.
Cost of Capital,The return a company must earn on its investments to maintain its market value and attract funds.
Cost of Goods Sold (COGS),The direct costs attributable to the production of goods sold by a company.
Creditors,Parties to whom money is owed by a business.
Current Ratio,A liquidity ratio that measures a company’s ability to pay short-term obligations with current assets.
Days Sales Outstanding (DSO),The average number of days it takes for a company to collect payment after a sale.
Depreciation,The allocation of the cost of a tangible asset over its useful life.
Dilution,The reduction in ownership percentage of existing shareholders due to the issuance of new shares.
Discounted Cash Flow (DCF),A valuation method estimating the value of an investment based on its expected future cash flows.
EBIT,"Earnings Before Interest and Taxes, a measure of a firm’s profitability."
Enterprise Value (EV),"The total value of a business, including market capitalization, debt, and excluding cash."
Fair Market Value,The price that an asset would sell for on the open market.
Free Cash Flow (FCF),Cash generated by a company after accounting for capital expenditures.
GAAP (Generally Accepted Accounting Principles),A collection of commonly followed accounting rules and standards in the U.S.
Goodwill,An intangible asset representing the excess purchase price over the fair value of a company’s net assets.
Impairment,A reduction in the recoverable value of an asset below its carrying amount.
Income Statement,"A financial statement showing revenue, expenses, and profit over a period of time."
Intangible Asset,"An asset without physical substance, such as patents, trademarks, or goodwill."
Inventory Turnover,A ratio showing how many times a company sells and replaces its inventory during a period.
Leverage Ratio,Any ratio that measures the level of debt compared to equity or assets.
Liquidity Ratio,A financial metric used to determine a company’s ability to cover its short-term obligations.
Market Capitalization,The total market value of a company’s outstanding shares of stock.
Net Income,"A company’s total earnings after expenses, taxes, and costs are deducted from revenue."
Net Present Value (NPV),The value of expected future cash flows discounted back to the present.
Operating Income,Profit generated from normal business operations.
Operating Margin,"Operating income divided by net sales, expressed as a percentage."
P/B Ratio,"Price-to-Book Ratio, comparing a firm’s market value to its book value."
P/E Ratio,"Price-to-Earnings Ratio, comparing a company’s share price to its earnings per share."
Prepaid Expense,An expense paid in advance and recorded as an asset until consumed.
Quick Ratio,A measure of liquidity that excludes inventory from current assets.
Return on Assets (ROA),A measure of profitability that indicates how efficiently a company uses its assets.
Return on Capital Employed (ROCE),A profitability ratio that measures how well a company generates profits from its capital.
Return on Investment (ROI),A measure of the gain or loss generated on an investment relative to its cost.
Revenue Recognition,An accounting principle dictating when revenue is recorded and reported.
Tangible Asset,"An asset with physical form, such as property, plant, or equipment."
Terminal Value,The value of a business or asset beyond the forecast period in a DCF model.
Variable Cost,A cost that changes in proportion to production volume.
Working Capital,"Current assets minus current liabilities, a measure of liquidity."
Write-Down,A reduction in the book value of an asset when its fair market value falls below carrying value.
Write-Up,An increase in the book value of an asset if its fair market value rises.
