Term,Definition
Market Maker,"A firm or individual that actively quotes two-sided markets in a financial instrument, providing bids and offers."
Market Order,An order to buy or sell a stock immediately at the best available price.
Market Participant,Any individual or institution that is actively involved in buying or selling financial instruments.
Market Risk,The possibility of an investor experiencing losses due to factors that affect the overall performance of the financial markets.
Maturity Date,The date on which the principal amount of a bond or other debt instrument becomes due and payable.
Merchant Bank,A financial institution that provides capital to companies in the form of share ownership.
Money Supply,The total amount of money in circulation or in existence in an economy at a given time.
NASDAQ,"A global electronic marketplace for buying and selling securities, as well as the benchmark index for U.S. technology stocks."
Net Interest Margin (NIM),A performance metric that examines how successful a firm’s investment decisions are compared to its debt situations.
NYSE,"The New York Stock Exchange, the world's largest equities-based exchange."
Open Interest,"The total number of outstanding derivative contracts, such as options or futures, that have not been settled."
Option Chain,A listing of all available option contracts for a given security.
Overbought,"A condition in which the price of a security has risen too far, too fast, and is likely due for a correction."
Oversold,"A condition in which the price of a security has fallen too far, too fast, and is likely due for a rebound."
Penny Stock,"A stock that trades at a relatively low price, often outside of major market exchanges."
Portfolio Manager,A person or team responsible for making investment decisions for a fund or client portfolio.
Primary Market,The market where new securities are issued and sold to investors for the first time.
Principal,The original amount of money borrowed in a loan or put into an investment.
Quantitative Easing (QE),A monetary policy used by central banks to stimulate the economy by buying financial assets.
Quotation,"The last price at which a security or commodity traded, or the most recent bid and ask prices."
Repo (Repurchase Agreement),A form of short-term borrowing for dealers in government securities.
Risk Management,"The identification, analysis, and mitigation of uncertainty in investment decisions."
Secondary Market,A marketplace where investors buy and sell securities they already own.
Securities and Exchange Commission (SEC),The U.S. federal agency that regulates the securities markets and protects investors.
Settlement Date,The date on which a trade is finalized and securities are delivered to the buyer while cash is paid to the seller.
Short Selling,"The sale of a security not owned by the seller, with the expectation it will decline in value."
Spread,"The difference between two prices, rates, or yields."
Stock Index,A measurement of the performance of a group of stocks that represent a particular market or sector.
Stop Order,An order to buy or sell a security once its price reaches a specified level.
Swaption,An option granting the right but not the obligation to enter into a swap agreement by a specified date.
Systemic Risk,The risk of collapse of an entire financial system or entire market.
Ticker Symbol,An abbreviation used to uniquely identify publicly traded shares of a particular stock.
Trade Settlement,The process of transferring securities to the buyer and payment to the seller after a trade has been executed.
Treasury Note,A marketable U.S. government debt security with a fixed interest rate and maturity between one and ten years.
Underwriting,The process by which an investment bank raises investment capital from investors on behalf of corporations and governments issuing securities.
Volcker Rule,A federal regulation that restricts U.S. banks from making certain types of speculative investments.
Volume,The number of shares or contracts traded in a security or market during a given period.
Yield Curve,A line that plots interest rates of bonds having equal credit quality but differing maturity dates.
Zombie Bank,A bank with an economic net worth less than zero that continues to operate due to government support.
